,aggregate_1,aggregate_2,aggregate_3,aggregate_4,aggregate_5,aggregate_6,aggregate_7,aggregate_8,aggregate_9,aggregate_10,aggregate_11,aggregate_12,hvac_1,hvac_2,hvac_3,hvac_4,hvac_5,hvac_6,hvac_7,hvac_8,hvac_9,hvac_10,hvac_11,hvac_12,fridge_1,fridge_2,fridge_3,fridge_4,fridge_5,fridge_6,fridge_7,fridge_8,fridge_9,fridge_10,fridge_11,fridge_12,dw_1,dw_2,dw_3,dw_4,dw_5,dw_6,dw_7,dw_8,dw_9,dw_10,dw_11,dw_12,dr_1,dr_2,dr_3,dr_4,dr_5,dr_6,dr_7,dr_8,dr_9,dr_10,dr_11,dr_12,wm_1,wm_2,wm_3,wm_4,wm_5,wm_6,wm_7,wm_8,wm_9,wm_10,wm_11,wm_12,area,num_rooms,num_occupants
661,734.538085938,627.301574707,713.87701416,702.234191895,815.784484863,1304.6583252,1621.93737793,1784.7722168,1288.96862793,1129.67272949,700.861450195,706.494995117,0.000683333317284,0.069366671145,21.7276496887,89.2842636108,196.80809021,567.893920898,802.133544922,940.353027344,559.220153809,321.239074707,11.3190002441,0.096116669476,38.0752868652,35.4668655396,40.7953529358,42.0581817627,46.5658683777,43.4546470642,44.6563835144,43.4669494629,42.8753967285,42.5449829102,36.9660148621,36.1520500183,0.0124333333224,0.0190666671842,0.385066688061,0.00726666674018,0.00706666661426,7.89776659012,0.00730000017211,0.00573333306238,2.45958328247,0.00949999969453,0.0304333344102,0.426999986172,42.0146980286,41.4316825867,37.8855819702,37.1010169983,16.5968170166,40.4119987488,25.0866508484,32.6739807129,25.1645336151,38.1597328186,34.6678009033,33.2369346619,5.20858335495,4.54321670532,5.42093324661,3.55394983292,1.26583337784,5.55466651917,4.85513353348,2.38755011559,1.88548326492,2.87668323517,3.62876653671,5.52348327637,1664.0,6.0,2.0
871,606.112976074,526.632995605,542.888061523,481.929412842,726.448547363,892.936035156,918.60736084,1046.82775879,723.253601074,620.450195312,475.87677002,584.972412109,28.8058338165,25.8755664825,28.878484726,35.8434486389,94.5529708862,251.296920776,316.148834229,442.718475342,223.456039429,115.625427246,27.5597000122,28.2725658417,52.2034187317,51.0975151062,55.5648498535,61.1198501587,81.7565307617,89.1732940674,88.8890991211,85.9914855957,76.8198165894,72.8306655884,53.4846153259,56.2345809937,18.4859333038,18.2714157104,16.8250331879,17.3783836365,20.0050830841,8.73734951019,9.74615001678,9.11926651001,9.07320022583,10.7766160965,13.1298666,16.1935157776,60.439666748,69.0052490234,78.2614135742,54.531867981,60.2500495911,60.5854988098,45.7981338501,61.6372489929,43.9138832092,47.6000823975,51.6849632263,69.3858184814,2.0353167057,2.61041665077,3.46066665649,2.77189993858,3.04885005951,7.03176641464,3.19648337364,2.5298666954,2.33756661415,2.25610017776,2.10555005074,2.62201666832,1652.0,8.0,4.0
936,325.021942139,272.471466064,311.534667969,354.935760498,387.711334229,717.352722168,870.522583008,861.357666016,708.992980957,403.710449219,289.388641357,290.308441162,0.0,0.69171667099,0.0581000000238,55.40051651,118.955101013,360.540893555,472.314331055,503.782470703,319.533996582,99.1079711914,0.0385666638613,0.0188500005752,39.4395904541,37.0389633179,49.8470649719,58.0209846497,62.393283844,71.9467010498,72.6937332153,71.7407150269,70.5061340332,67.0239868164,50.1065368652,49.5956001282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1400.0,8.0,4.0
1169,477.571472168,494.561187744,478.382904053,437.076507568,393.844055176,658.081298828,955.828063965,710.273803711,747.292053223,671.533996582,455.289825439,552.354125977,1.07651674747,0.767450034618,0.789333283901,3.0908331871,13.391500473,174.607452393,301.840576172,256.941955566,213.378356934,91.9140472412,0.719650030136,0.688700020313,32.351600647,36.4567337036,43.1593666077,49.5311470032,50.3774833679,60.5317993164,67.7368240356,55.4611167908,59.8071670532,57.1027641296,42.9928970337,43.916267395,3.65568327904,4.45603322983,6.33548355103,6.26940011978,3.18105006218,4.44589996338,7.7579331398,1.53486669064,8.48375034332,6.37746667862,6.42988348007,10.118516922,18.1548671722,15.8335666656,15.3152666092,13.5127496719,11.6920661926,3.99388337135,12.6355829239,7.98981618881,6.99091672897,9.34316730499,21.3247680664,35.3037490845,0.308033317327,0.785133302212,0.573583304882,0.555833339691,0.543266654015,0.223933339119,0.622466683388,0.40775001049,0.256533324718,0.524366676807,0.941700041294,1.36593329906,1430.0,6.0,2.0
1283,804.016601562,751.73059082,777.003540039,653.651123047,898.379577637,999.114501953,1674.37841797,2109.2980957,1514.82788086,1157.23999023,710.240844727,695.965759277,0.085966669023,0.059549998492,0.0492499992251,99.4515304565,299.838928223,438.688446045,906.230041504,1252.83093262,821.208435059,489.93963623,36.9797134399,0.00065000000177,,,,,,,,,,,,,,,,,,,,,,,,,0.0510833337903,0.120483331382,0.498649984598,0.516233325005,0.605233311653,0.596816658974,0.780666708946,0.908866643906,0.643249988556,0.564716696739,0.294133335352,0.18043333292,,,,,,,,,,,,,2500.0,10.0,5.0
1334,287.39642334,242.926544189,331.119781494,313.43069458,287.075958252,382.624542236,509.543121338,487.950897217,464.754669189,405.024810791,310.760681152,367.254516602,0.086333334446,0.118633329868,0.449549973011,3.9092168808,0.168899998069,48.8891677856,113.258979797,146.912216187,116.331237793,12.7965497971,0.212149992585,0.28818333149,58.3785820007,57.8058662415,73.807472229,78.7350845337,75.4266662598,97.4100036621,115.490531921,100.675666809,96.1113357544,89.6210021973,66.7115020752,70.9609909058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1100.0,5.0,2.0
1500,399.087615967,334.307922363,336.042449951,307.788330078,94.8649520874,298.849517822,467.747680664,469.711151123,401.305053711,301.30947876,279.798553467,279.624237061,0.0557833313942,5.40398359299,5.60701656342,31.9775009155,4.56291627884,99.9859161377,176.179351807,194.035522461,126.189086914,63.8673973083,1.71538329124,1.53909993172,25.8245830536,25.9679489136,29.0619335175,31.7530841827,25.6700668335,30.1921653748,33.5027503967,34.4138832092,33.2827339172,29.6100997925,27.677066803,28.3882331848,7.24084997177,4.84561681747,2.39663338661,2.42223334312,0.48413336277,1.91623330116,1.94889998436,0.472783327103,0.486366659403,0.536516666412,2.50206661224,2.50786662102,,,,,,,,,,,,,,,,,,,,,,,,,713.0,3.0,2.0
1642,431.382293701,460.297607422,519.498535156,644.85144043,906.416564941,1453.33544922,1782.12634277,1798.18933105,1429.30627441,1025.73754883,508.093780518,597.585693359,0.090499997139,0.145566672087,5.83228302002,56.7843666077,137.782196045,397.287689209,582.639831543,694.569824219,464.177185059,250.428359985,2.56286668777,0.05618333444,80.2576293945,68.2893829346,84.7776489258,93.0006484985,104.097221375,103.728088379,82.4600296021,100.846664429,88.9830703735,96.1775665283,89.7562637329,92.8669967651,6.77264976501,4.94806671143,8.77124977112,7.23854970932,6.6721663475,5.94335031509,6.77754974365,12.0640497208,9.01663398743,8.70311737061,8.10368347168,8.2312335968,,,,,,,,,,,,,3.70630002022,2.2132999897,2.32323336601,2.35486674309,2.52791666985,1.82773339748,2.04844999313,2.79066681862,1.8899166584,1.18490004539,2.02425003052,1.26438331604,1720.0,11.0,3.0
1700,2520.38500977,1956.76000977,1401.85375977,985.074035645,1089.60571289,1745.66418457,1688.05737305,2322.6159668,1585.35961914,1193.89331055,1739.32165527,2146.86425781,645.01751709,498.29888916,226.834442139,67.3529510498,75.4419708252,220.231063843,443.714111328,460.815002441,352.31427002,189.736526489,27.208366394,29.457698822,50.2969665527,47.0943984985,50.8132858276,58.6208305359,69.1589660645,86.0330276489,79.6228637695,69.9552154541,79.6637649536,81.4344558716,64.3793029785,67.338180542,,,,,,,,,,,,,58.9641838074,57.9950141907,50.7239990234,60.7541313171,60.1457328796,61.8184127808,57.47133255,27.0499820709,39.50258255,67.9282836914,52.3193664551,68.8255004883,3.53116679192,3.49213337898,4.55526638031,3.68466663361,3.59479999542,4.07908344269,3.78180003166,1.28196668625,1.78240001202,3.88855004311,3.0256998539,3.36728334427,3100.0,15.0,4.0
1800,555.259033203,530.135986328,519.278137207,630.626342773,774.264770508,1227.59326172,1402.52209473,899.319091797,1251.72265625,816.079650879,574.395263672,530.557189941,,,,,,,,,,,,6.07398319244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2075.0,9.0,1.0
1953,443.513336182,385.293029785,338.959625244,372.895202637,431.763458252,853.034790039,843.43572998,1206.91162109,775.577819824,487.032653809,407.325836182,544.408874512,0.163466662169,0.142266660929,5.82835006714,46.776184082,109.176734924,434.70413208,476.678253174,727.063415527,367.163726807,137.636779785,0.0223500002176,0.00598333356902,34.1210670471,30.4653663635,38.395450592,43.5834197998,44.0403022766,46.7818984985,49.02866745,50.0503311157,47.4537353516,45.8045654297,46.2607841492,39.4608306885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1600.0,8.0,2.0
2156,870.22467041,772.037353516,881.595153809,951.158508301,933.023742676,1085.95117188,1091.53051758,1342.89868164,1117.45458984,846.483764648,794.75,1011.20788574,195.364593506,173.650390625,128.845428467,250.852035522,300.163879395,441.26385498,519.001159668,716.899475098,468.400970459,314.081054688,150.162216187,147.129821777,49.5255661011,44.2021331787,51.2696990967,53.8325157166,54.8606491089,54.5372009277,57.7562637329,62.8192138672,57.9942131042,56.0468025208,50.7831840515,57.0128173828,18.6121177673,13.4779500961,17.1171512604,20.9772491455,14.7547502518,16.2323493958,11.5622663498,13.3933334351,14.7633838654,11.938615799,14.0392332077,18.3629341125,61.9510002136,43.7161483765,61.5841026306,55.9933166504,55.9362335205,57.7170333862,50.1423988342,55.8442497253,67.2206192017,46.0536689758,57.9332847595,67.7990493774,7.6874666214,6.34296703339,7.68529987335,6.78989982605,7.39991664886,6.66678333282,6.49886655807,7.33976650238,8.09656715393,6.82451677322,7.36039972305,7.83656692505,1780.0,7.0,2.0
2233,496.027130127,407.703216553,478.40512085,605.880737305,907.019470215,1254.46923828,1661.89831543,1751.34753418,1331.80603027,894.725708008,658.182373047,631.127441406,,,,,,603.697631836,1009.22369385,1103.52954102,741.973083496,402.002471924,37.4323158264,30.3208999634,,,,,,46.8106155396,54.211315155,55.0299186707,51.8010520935,53.7311668396,47.4565162659,48.2859840393,,,,,,9.30065059662,10.0623664856,10.9954500198,6.94820022583,10.8531837463,11.7268333435,11.7685165405,,,,,,,,,,,,,,,,,,4.08468341827,5.10489988327,4.67241668701,4.15233325958,4.10233354568,5.97928333282,5.54786682129,3300.0,4.0,4.0
2242,1198.19519043,886.51373291,925.749633789,1027.9979248,1540.61828613,2318.03320312,2588.57006836,2516.11181641,1809.86254883,1272.69543457,928.526550293,1293.68774414,22.9118995667,21.2164497375,35.9632835388,193.567352295,336.65032959,528.727722168,671.450073242,835.334838867,631.49005127,351.418823242,36.1497993469,33.5437164307,52.8165359497,44.3316001892,49.5882492065,50.1751327515,63.4710350037,64.6502685547,62.7952346802,58.9816665649,53.7454833984,51.3500823975,50.2200813293,53.2266311646,21.7065849304,17.3535671234,14.6047496796,13.3522996902,17.8628826141,15.0962667465,16.8295173645,11.1831169128,15.8573331833,10.2317333221,15.556883812,19.3412837982,105.63356781,50.9441184998,67.4304275513,86.3450469971,91.4117507935,96.0556335449,111.200294495,68.1926193237,79.0674972534,59.9038505554,73.9939651489,113.364784241,6.90110015869,4.20356702805,5.2310667038,5.91793298721,6.57893323898,7.48373317719,6.90454959869,4.81513309479,5.57146692276,4.30100011826,4.71818304062,6.03796672821,3500.0,4.0,2.0
2378,913.049377441,759.327758789,400.27645874,645.845581055,795.651855469,428.042541504,1519.31079102,1879.44018555,836.346862793,574.213134766,543.082519531,534.366394043,2.51198339462,2.49991679192,2.20616674423,116.523216248,177.665084839,1.56615006924,708.277893066,985.970947266,347.211273193,123.561485291,1.45531666279,1.56698322296,,71.2870178223,61.0038528442,64.3547668457,73.6360702515,59.4423522949,75.3321609497,81.4379806519,63.1478004456,66.1432189941,103.656265259,81.5012664795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1600.0,7.0,2.0
2470,430.940216064,406.746826172,450.871551514,457.816375732,648.8125,966.768981934,1075.40332031,1166.94921875,908.346374512,640.010681152,471.598114014,426.250732422,0.00261666672304,3.22926664352,6.2078499794,69.7918395996,158.093276978,402.352661133,476.750762939,568.100891113,342.611846924,181.523452759,10.6238164902,5.603266716,38.06483078,31.8680000305,37.7090148926,39.4923019409,47.7898979187,48.3796157837,51.9084320068,51.4945526123,47.56016922,49.1836166382,38.1256828308,36.863483429,0.0174166653305,0.0134666673839,0.0149999996647,0.0146333333105,0.0138500006869,0.0192666668445,0.0151166664436,0.0120666669682,0.0153666669503,0.0335999988019,0.0179166663438,0.0120000001043,3.09284996986,35.0868148804,53.3083152771,52.5004501343,49.5535812378,51.6498680115,44.9630508423,36.9844474792,55.4708824158,54.8889846802,56.7261314392,61.156867981,2.86669993401,4.48568296432,6.78196668625,5.36926651001,6.83489990234,5.48606681824,10.9082164764,4.40116643906,5.9861831665,4.25250005722,6.17895030975,5.64164972305,1550.0,3.0,1.0
2814,823.658569336,682.633178711,824.514587402,966.158630371,1159.47167969,1667.06420898,1666.86584473,2049.02246094,1313.60778809,1045.52978516,696.785339355,939.731262207,0.677333295345,0.494533330202,9.01856613159,138.313064575,254.384963989,654.457458496,841.470153809,1104.85290527,533.984741211,301.249206543,1.82400000095,1.45538330078,46.0978660583,42.8956680298,47.3584861755,50.2641334534,53.8753662109,57.2470664978,55.677116394,59.2325668335,55.3721160889,57.9077339172,46.024684906,45.6172637939,13.6930170059,10.244383812,11.6127166748,11.5948495865,11.5433330536,14.1612501144,10.7285833359,12.4075994492,8.11463356018,12.440032959,11.8925495148,13.973400116,96.7318496704,76.1660461426,106.475456238,75.4597473145,79.3063964844,92.0607833862,69.8778686523,89.518951416,74.2559661865,78.5250320435,84.098487854,95.3547058105,5.25174999237,3.87231659889,4.73316669464,3.94379997253,4.22281646729,4.92529964447,3.0882999897,3.994566679,3.40551662445,4.41654968262,4.14796686172,4.37585020065,1860.0,7.0,2.0
2925,638.250549316,539.942993164,632.946411133,783.245910645,817.879699707,1570.97094727,1726.17004395,1877.09838867,1977.59057617,1597.16650391,743.17767334,598.091308594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2330.0,3.0,4.0
2953,251.7628479,218.076095581,218.306243896,242.301956177,251.693511963,516.185119629,493.843444824,692.865783691,492.104034424,321.884460449,229.951599121,269.30090332,0.066550001502,0.0493666678667,0.0543166659772,0.0617333352566,9.7827835083,198.915435791,210.840438843,357.809143066,194.546890259,63.432800293,0.0548166669905,0.0528666675091,53.4070014954,50.5540161133,55.0043182373,65.0480499268,67.9724655151,69.7061004639,65.3715515137,69.813369751,64.7995376587,64.3901824951,52.8775520325,55.3393516541,,,,,,,,,,,,,27.4484157562,22.4498348236,30.9949493408,25.7314167023,21.1720657349,35.204082489,21.3041496277,26.681432724,26.74883461,20.4858016968,30.9773330688,29.9574012756,1.54404997826,1.26481664181,1.79715001583,1.432066679,1.2744166851,2.29798340797,1.47500002384,1.64490008354,1.92701673508,1.32241666317,1.46441662312,1.42583334446,1500.0,5.0,2.0
2986,304.56072998,262.308868408,266.813964844,299.658843994,266.927520752,517.103820801,1003.19445801,1649.74963379,1142.50109863,895.301208496,278.33203125,286.380889893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2310.0,6.0,2.0
3224,463.46862793,443.407501221,446.025939941,342.955413818,392.325042725,631.018981934,850.491577148,990.726806641,710.287658691,567.47869873,345.052703857,453.780914307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000.0,10.0,2.0
3299,225.700653076,194.608383179,156.393447876,218.635650635,250.31590271,309.971893311,132.6771698,266.290161133,294.21673584,290.821960449,178.673324585,175.933731079,0.0473666675389,0.0411666668952,0.0418333373964,31.9295845032,62.8444633484,116.009498596,23.7389163971,100.688781738,106.592353821,86.4880447388,9.77090072632,4.92988348007,25.5535507202,24.3173675537,28.4659004211,29.4153499603,30.7527332306,29.9063663483,34.8903007507,33.1805000305,29.6072158813,30.3591499329,27.9347496033,27.7791843414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,975.0,5.0,1.0
3367,963.564208984,890.96081543,819.912597656,988.279907227,1287.14672852,1932.86071777,1976.86242676,2495.04492188,1926.6184082,1585.86938477,805.398864746,892.320678711,1.21218335629,8.64913368225,6.80986690521,136.994094849,331.443969727,791.331298828,939.538879395,1214.86328125,781.609741211,492.556274414,2.86460018158,1.76271665096,55.4265823364,51.9434165955,54.5646476746,57.5655822754,63.6549835205,64.6354675293,67.0558700562,70.2500686646,68.4421768188,72.051071167,55.9566688538,53.3039855957,0.0933166667819,4.24359989166,16.3767166138,16.3464164734,17.0481510162,17.0886325836,14.119383812,22.3062648773,22.3693161011,17.7357673645,19.2649002075,22.8914852142,,13.5932502747,58.0690155029,81.7616653442,63.8406677246,66.8197784424,54.3636474609,71.3672943115,67.4430465698,66.7575454712,91.3755569458,71.7233505249,7.63479995728,6.98038339615,2.85391664505,4.87550020218,2.86823344231,2.43385004997,2.39618325233,4.14108371735,5.91828298569,3.64948344231,4.75274991989,2.71658325195,2800.0,4.0,3.0
3443,431.644226074,383.839538574,300.776519775,291.265686035,337.115020752,389.303131104,406.147338867,405.509613037,349.119567871,290.010284424,266.223052979,245.911499023,0.00343333347701,3.15056657791,2.82463335991,37.3358001709,68.9585723877,122.307502747,136.431167603,140.075073242,99.1893386841,50.6720352173,1.61748337746,1.62176668644,29.6751003265,27.2811164856,31.2767677307,33.27551651,36.8081169128,34.093963623,35.2801170349,35.7725334167,33.9609184265,34.4191322327,29.0423336029,29.8917160034,0.632016658783,0.0,0.57775002718,0.460333317518,0.0,0.322450011969,0.0,0.0,0.60913336277,0.0,0.0,0.539333403111,,,,,,,,,,,,,,,,,,,,,,,,,650.0,4.0,1.0
3456,346.458435059,293.428436279,328.342285156,418.573608398,533.32434082,796.532043457,952.356506348,1173.19897461,844.850891113,560.952392578,318.461517334,354.830627441,0.0,0.0,4.40221691132,84.5003662109,154.120559692,401.533569336,524.935791016,675.970336914,414.363525391,205.583602905,0.0256666652858,0.0,71.0972366333,61.0589637756,71.1050720215,75.9672012329,83.7277679443,85.2966995239,83.7218856812,86.0055847168,83.7280731201,85.2602462769,71.1777191162,73.6864013672,4.64938306808,3.74753332138,4.26018333435,4.4919834137,0.658950030804,2.95363330841,0.0,3.08301663399,1.63141667843,4.58368349075,2.20168328285,0.0,4.52064990997,10.7777833939,11.5658330917,27.5845336914,14.0933332443,6.19086647034,11.5135993958,15.9432001114,23.1505508423,14.7017831802,11.5845499039,27.833650589,1.71378338337,2.01838326454,2.09325003624,2.04603338242,1.6779333353,1.33401656151,1.3940333128,1.79168331623,2.52814984322,1.146666646,1.31421673298,2.3044500351,1720.0,10.0,2.0
